Text,identifies text as in Collection A
Planet,identifies planet
Event,phi = first station; psi = second station
Tera,reign or SE for Seleucid Era
TY,Babylonian year number
TM,Bab month number
TD,Bab day number
NSName,the Normal Star
NSNo,number of star in Sachs-Hunger list
East?,Y if there is or was a measurement behind/in front; N if definitely not; ? If uncertain
East_cub,cubits distance reported; fingers have been converted to cubits at 24 fingers = 1 cubit; negative means in front
North?,Y if there is or was a measurement above/below; N if definitely not; ? If uncertain
North_cub,cubits distance reported; fingers have been converted; negative means below
JY,Julian calendar year
TrueDate,Closest date to station according to JPL ephemeris
JPLLong,Longitude at 21 UT from JPL
JPLLat,Latitude at 21 UT
Notes,miscellaneous notes
NSLong,longitude of median passage point of Normal Star
NSLat,latitude of Normal Star
NSLongUncorr,longitude of Normal Star uncorrected for passage point


Text,Planet,Event,Tera,TY,TM,TD,NSName,NSNo,East?,East_cub,North?,North_cub,JY,TrueDate,JPLLong,JPLLat,Notes,NSLong,NSLat,NSLongUncorr
H79,Mars,Psi,SE,127,11,10,gCnc,15,Y,-1,N,,-183,b0184-Feb-17 21:00,95.3124536,3.687446,,97.59657923,3.000644417,97.23718367
H79,Mars,Phi,SE,127,8,1,eLeo,17,Y,2,N,,-184,b0185-Nov-28 21:00,114.8109049,3.0055225,,110.1641274,9.546101667,110.329753
H78,Jupiter,Phi,SE,120,9,18,bVir,21,Y,2,N,,-191,b0192-Dec-19 21:00,150.9565391,1.3950948,,146.1290934,0.648335125,146.2227552
H78,Jupiter,Phi,SE,119,8,,aLeo,18,Y,0.5,N,,-192,b0193-Nov-19 21:00,120.5606737,0.8453003,,119.39865,0.369205333,119.4975933
-197,Saturn,Phi,SE,114,11,10,aLib,24,Y,-0.5,N,,-196,b0197-Jan-26 21:00,193.355665,2.6631585,,194.4795078,0.626023833,194.5640805
BM34968,Saturn,Phi,SE,112,,29,aVir,23,Y,-2,N,,-198,b0199-Jan-01 21:00,169.7913873,2.5033098,,173.090244,-1.910326833,173.3116973
-209,Mars,Psi,SE,102,3,6,bLib,25,Y,2,N,,-209,b0210-Jun-05 21:00,206.0260261,-1.9780589,,199.5640931,8.744762708,198.6888205
BM34145,Jupiter,Phi,SE,99,12,23,thOph,29,Y,1.5,N,,-211,b0212-Mar-14 21:00,234.3402103,0.8740887,,231.0940755,-1.539380542,230.6649703
BM34145,Jupiter,Psi,SE,99,,12,aLib,24,Y,-0.5,N,,-212,b0213-Jun-13 21:00,192.9172198,1.293705,,194.2585525,0.6278285,194.3431252
H77,Jupiter,Phi,SE,97,10,1,aVir,23,Y,0.5,N,,-213,b0214-Jan-10 21:00,172.3106107,1.5612995,,172.8828271,-1.909500583,173.1042804
H77,Jupiter,Psi,SE,98,1,25,gVir,22,Y,1,N,,-213,b0214-May-13 21:00,162.3981686,1.567079,,159.5922614,2.840826333,159.364631
